title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Enhancing research idea generation through combinatorial innovation and multi-agent iterative search strategies,"S Chen, C Zhang",2026,2,"… academic potential. To guide the investigation, this study addresses the following research questions: RQ1: Can the multi-agent iterative planning and search … ten scientific discovery …",WjgGjI_5QucJ,"S Chen, C Zhang - Scientometrics, 2026 - Springer",[],https://link.springer.com/article/10.1007/s11192-026-05654-6,unknown,unknown
Beyond brainstorming: What drives high-quality scientific ideas? lessons from multi-agent collaboration,"N Chen, Y Tong, J Wu, MD Duong, Q Wang…",2025,7,"… prompt_template: |You are the same Participant 1 who has been participating in the 4-round multi-agent academic discussion on 'topic', now generating a research proposal about …",6kNfSfeI-oUJ,"N Chen, Y Tong, J Wu, MD Duong, Q Wang… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2508.04575,unknown,unknown
EvoSci: A Bio-Inspired Multi-Agent Framework for the Evolution of Scientific Discovery,"X Xiong, Y Ren, D Xiong",2026,1,"… ), have shown strong potential in scientific discovery, yet existing … To mitigate these issues, we propose EvoSci, a multi-agent … in both scientific idea generation and continuous discovery. …",NB3kTXMiPIcJ,"X Xiong, Y Ren, D Xiong - … of the 64th Annual Meeting of the …, 2026 - aclanthology.org",[],https://aclanthology.org/2026.acl-long.447/,unknown,unknown
A multi-agent system that facilitates scientific publications search,"A Birukou, E Blanzieri, P Giorgini",2006,28,"… In this paper we present a multi-agent system that facili- … For the experiments we used data from CiteSeer, but we could have chosen Google Scholar or any university or public library in…",jRx1Wln_KJ0J,"A Birukou, E Blanzieri, P Giorgini - Proceedings of the fifth international …, 2006 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/1160633.1160680,unknown,unknown
Dynamic scholarly collaborator recommendation via competitive multi-agent reinforcement learning,"Y Zhang, C Zhang, X Liu",2017,44,"… academic credits. To address this property, we propose a novel dynamic collaboration recommendation method by adapting the multi-agent … , aka di erent scholars will compete for …",dHTp_0cTReMJ,"Y Zhang, C Zhang, X Liu - Proceedings of the eleventh ACM conference …, 2017 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3109859.3109914,unknown,unknown
MASECO: a multi-agent system for evaluation and classification of OERs and OCW based on quality criteria,"G Moise, M Vladoiu, Z Constantinescu",2013,21,… stringent need for effective search and discovery tools that are able to locate high quality … multi-agent system for evaluation and classification of open courseware and open educational …,rOacx1BLLjAJ,"G Moise, M Vladoiu, Z Constantinescu - E-Learning Paradigms and …, 2013 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-642-41965-2_7,unknown,unknown
The virtual biotech: A multi-agent ai framework for therapeutic discovery and development,"HG Zhang, P Eckmann, J Miao, AB Mahon, J Zou",2026,4,… Drug discovery and development requires integrating diverse evidence across biological … organizations to support end-to-end computational discovery. The Virtual Biotech is led by a …,Cr44q5nDXYIJ,"HG Zhang, P Eckmann, J Miao, AB Mahon, J Zou - bioRxiv, 2026 - biorxiv.org",[],https://www.biorxiv.org/content/10.64898/2026.02.23.707551.abstract,unknown,unknown
AI Agents as Knowledge Navigators: A Conceptual Framework for Multi-Agent Systems in Scientific Knowledge Management,"P Gemelli, L Pagani, MI Zignego…",2025,4,,blbLci8zNEQJ,"P Gemelli, L Pagani, MI Zignego… - Human …, 2025 - Tareq Z. Ahram, Waldemar …",[],,unknown,unknown
Application of multi-agent reinforcement learning system in optimizing higher education resource allocation,"J Xu, B Ding, H Peng, W Miao",2025,2,"… multiple agents in complex educational systems, this paper … multi-agent system in dynamic educational scenarios. To systematically evaluate the dynamic adaptation of the multi-agent …",yBjvSpZReRsJ,"J Xu, B Ding, H Peng, W Miao - Journal of Computational …, 2025 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/14727978251385187,unknown,unknown
Multi-Agent Systems in Education: A Survey from the Trustworthiness Perspective,"C Dahal, J Chen, M Ye, Z Xiong",2026,1,"… This paper provides a comprehensive survey of multiagent educational systems by introducing a novel taxonomy of agent roles (eg, tutor, peer, evaluator, and mediator). It compares …",BpaSVvR1juUJ,"C Dahal, J Chen, M Ye, Z Xiong - IEEE Transactions on …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11533444/,unknown,unknown
Iv co-scientist: Multi-agent llm framework for causal instrumental variable discovery,"I Sheth, Z Jin, B Wilder, D Janzing, M Fritz",2026,3,"… LLMs can assist in the discovery of novel and valid IVs. We propose a multi-agent pipeline that separates the creative and evaluative stages of IV discovery, mirroring how human …",Itrf624S-WEJ,"I Sheth, Z Jin, B Wilder, D Janzing, M Fritz - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2602.07943,unknown,unknown
Conceptual model for knowledge discovery process in databases based on multi-agent system,"A Jahani, P Akhavan, M Jafari…",2016,13,Purpose Knowledge discovery in databases (KDD) is a tedious and repetitive process. A challenge for the effective use of KDD is understanding and confirming its results derived from …,ADV3T1TZ6gQJ,"A Jahani, P Akhavan, M Jafari… - VINE Journal of Information …, 2016 - emerald.com",[],https://www.emerald.com/vjikms/article/46/2/207/377186,unknown,unknown
Prompt-to-pill: Multi-Agent drug discovery and clinical simulation pipeline,"I Vichentijevikj, K Mishev…",2026,6,"… This paper introduces Prompt-to-Pill, a unified multi-agent framework build on a systematic analysis of 51 LLM-based studies published between 2022 and 2025. The architecture …",fE80tjixPJIJ,"I Vichentijevikj, K Mishev… - Bioinformatics …, 2026 - academic.oup.com",[],https://academic.oup.com/bioinformaticsadvances/article-abstract/6/1/vbaf323/8403080,unknown,unknown
Multi‐Agent‐Network‐Based Idea Generator for Zinc‐Ion Battery Electrolyte Discovery: A Case Study on Zinc Tetrafluoroborate Hydrate‐Based Deep Eutectic …,"MJ Robson, S Xu, Z Wang, Q Chen…",2025,23,"… In response, this work presents a Large Language Model (LLM)-based multi-agent network that proposes DEE compositions for zinc-ion batteries. By analyzing academic papers from …",SH1g4fz8X60J,"MJ Robson, S Xu, Z Wang, Q Chen… - Advanced …, 2025 - Wiley Online Library",[],https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202502649,unknown,unknown
CharacterCritique: Supporting Children's Development of Critical Thinking through Multi-Agent Interaction in Story Reading,"Z Wang, J Pan, D Jin, J Zhang, J Cao, C Zhang…",2025,12,"… Parents’ lack of understanding of critical thinking may lead them to overlook the implicit opportunities present in the educational process (S1,2,3,4,5). For example, when reading picture …",35qz1C5EiMEJ,"Z Wang, J Pan, D Jin, J Zhang, J Cao, C Zhang… - Proceedings of the …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3706598.3713602,unknown,unknown
A cooperative multi-agent approach-based clustering in enterprise resource planning,"N Mesbahi, O Kazar, S Benharzallah…",2015,10,"… In addition, knowledge discovery is a technology whose purpose is to promote information … planning database. To achieve this, the authors call the paradigm of multi-agent system to …",n65gwNWjb90J,"N Mesbahi, O Kazar, S Benharzallah… - International Journal of …, 2015 - igi-global.com",[],https://www.igi-global.com/article/a-cooperative-multi-agent-approach-based-clustering-in-enterprise-resource-planning/125432,unknown,unknown
"Multimodal Data Processing and Multi-Agent Systems: Architecture, Applications, Challenges, and Opportunities","L Namitha, PR Buvaneswari…",2026,0,"… opportunity to expand its global presence in the academic … , identify the emerging opportunities running innovation. Future … learning and multi-agent reinforcement are also discovered, …",wwrGBHZqdmYJ,"L Namitha, PR Buvaneswari… - … in Multi-Agent Large …, 2026 - igi-global.com",[],https://www.igi-global.com/chapter/multimodal-data-processing-and-multi-agent-systems/389181,unknown,unknown
Heuristic-Driven Optimization for Multi-Agent AI Systems,R Foultz,2026,0,… challenges in solving multi-agent coordination problems. … opportunity to thank the many people who provided support to finish this dissertation and assisted throughout my academic …,J5-QLyDzCb8J,R Foultz - 2026 - search.proquest.com,[],https://search.proquest.com/openview/ff13fb5969903cde4c1a8dd67eda7227/1?pq-origsite=gscholar&cbl=18750&diss=y,unknown,unknown
Introduction to multi-agent simulation,"PO Siebers, U Aickelin",2008,153,… Global Scientific Publishing an exciting opportunity to expand its global presence in the academic community and foster meaningful connections among scholars around the world. With …,oUUYUdSbcj0J,"PO Siebers, U Aickelin - … of decision making and decision support …, 2008 - igi-global.com",[],https://www.igi-global.com/chapter/introduction-multi-agent-simulation/11295,unknown,unknown
Towards Learning-Guided Search for Coordination of Multi-Agent Transportation at Scale,Z Yan,2024,1,"… accelerating the search algorithm. For problems ranging from vehicle routing problems (VRPs) to multi-agent path finding (MAPF), we find that, while the design of well-suited search-…",2b7iumQ8XLYJ,Z Yan - 2024 - search.proquest.com,[],https://search.proquest.com/openview/2303ad9733146821090a443d087b67d2/1?pq-origsite=gscholar&cbl=18750&diss=y,unknown,unknown
