title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Bridging data and discovery: a survey on knowledge graphs in AI for science,"K Ding, Z Zhu, Y Tang, K Feng, X Zhuang…",2026,4,"… to recommend safe, personalized medication combinations. … For instance, the KNOWNET framework [86] extracts triples … , such as multiagent driven robotic AI chemists that conduct …",KqR0vzSyvwkJ,"K Ding, Z Zhu, Y Tang, K Feng, X Zhuang… - National Science …, 2026 - academic.oup.com",[],https://academic.oup.com/nsr/article-abstract/13/8/nwag140/8507209,unknown,unknown
Digital Intelligent World: From Data-Driven AI to Knowledge-Enabled Intelligent Agents,"X Ge, Z Chen, L Yan, Y Yang",2026,2,"… ), they are incapable of discovering or creating new knowledge, ie, … creation of extensive, personalized AI agents that collaborate … and multi-agent reinforcement learning frameworks and …",hndcPz20VQwJ,"X Ge, Z Chen, L Yan, Y Yang - IEEE Transactions on …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11394713/,unknown,unknown
Research on the Construction and Application of Intelligent Teaching Scenarios Based on Multi-Agent Collaboration and Knowledge Base-Driven Approaches,F Xiao,2025,1,"… the Magic School AI platform significantly improves teaching efficiency and personalization … For example, the distributed agent registration and discovery mechanism proposed by the …",DnlqBvwRFkIJ,"F Xiao - 2025 IEEE 3rd International Conference on Image …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11138541/,unknown,unknown
Leveraging multi-AI agents for cross-domain knowledge discovery,"S Aryal, T Do, B Heyojoo, S Chataut…",2024,21,… discovery and decision-making. We present a comparative analysis of the different multi-agent … of collaborative AI systems equipped with the capability to harness custom tools and open …,KELTmRlyTU4J,"S Aryal, T Do, B Heyojoo, S Chataut… - arXiv preprint arXiv …, 2024 - arxiv.org",[],https://arxiv.org/abs/2404.08511,unknown,unknown
"Integrating LLMs and knowledge graphs for medical AI: Advances, challenges, and future directions","L Murali, G Gopakumar…",2025,7,"… , personalized treatment, and automated knowledge discovery, … multi-agent ensemble models for adaptive decision-making. … Systems such as KNOWNET [8] integrate KGs and LLMs …",UWNQ2kn9AecJ,"L Murali, G Gopakumar… - IEEE journal of …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11205285/,unknown,unknown
Position paper: Towards open complex human-AI agents collaboration systems for problem solving and knowledge management,"J Wu, CKL Or",2025,17,"… the technical details of multi-agent coordination, knowledge management… By mapping existing contributions, from symbolic AI … for AI deployment, it eliminates the need for one-off custom …",qzmU-bB7-osJ,"J Wu, CKL Or - arXiv preprint arXiv:2505.00018, 2025 - arxiv.org",[],https://arxiv.org/abs/2505.00018,unknown,unknown
PlanTogether: Facilitating AI Application Planning Using Information Graphs and Large Language Models,"DH Kim, D Jeong, S Yadgarova, H Shin, J Son…",2025,8,"… The LLM-powered tools help users discover and express … , 108], user feedback [94], multi-agent conversations [92]). The LLM … Next, we explore how the system’s personalized tips and …",XePCPpxIN08J,"DH Kim, D Jeong, S Yadgarova, H Shin, J Son… - Proceedings of the …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3706598.3714044,unknown,unknown
Knowledge Graph and Large Language Model Co-learning via Structure-oriented Retrieval Augmented Generation,"C Yang, R Xu, L Luo, S Pan",2024,8,"… to explore LLM-based multi-agent systems, mostly through … Finally, we envision a federated multi-agent system where … 328], and further extend the set and discover their impacts and …",oZN0gAgVF6oJ,"C Yang, R Xu, L Luo, S Pan - IEEE Data Engineering Bulletin, 2024 - par.nsf.gov",[],https://par.nsf.gov/servlets/purl/10590165,unknown,unknown
Healthgenie: Empowering users with healthy dietary guidance through knowledge graph and large language models,"F Gao, X Zhao, D Xia, Z Zhou, R Yang, J Lu…",2025,6,"… , HealthGenie employs a multi-agent pipeline to synthesize a user… of human-AI interfaces for personalized health guidance. … Knownet: Guided health information seeking from llms via …",P7f534PpBbcJ,"F Gao, X Zhao, D Xia, Z Zhou, R Yang, J Lu… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2504.14594,unknown,unknown
Diaglink: A dual-user diagnostic assistance system by synergizing experts with llms and knowledge graphs,"Z Zhou, Y Liu, Y Xie, B Wang, X Yang…",2026,2,"… recommendation [25], and incorporating multi-agent … knowledge—such as newly discovered disease associations—can be … KnowNet [103] introduced a visual exploration system that …",DB4pHdvDg9sJ,"Z Zhou, Y Liu, Y Xie, B Wang, X Yang… - Proceedings of the 2026 …, 2026 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3772318.3791724,unknown,unknown
Jupybara: Operationalizing a design space for actionable data analysis and storytelling with llms,"HW Wang, L Birnbaum, V Setlur",2025,27,"… We now introduce Jupybara, an LLM-based multi-agent AI assis… AI assistant within an environment familiar to data analysts (D1). Compared with AI assistants accessible through custom …",dWJQYE1RiVoJ,"HW Wang, L Birnbaum, V Setlur - … of the 2025 CHI Conference on …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3706598.3713913,unknown,unknown
Agentic large language models for healthcare: current progress and future opportunities,H Yuan,2025,27,"… Similarly, KNOWNET [12] augments LLMs by integrating knowledge graphs to improve their … Consequently, researchers are shifting to multi‐agent frameworks, wherein specialized …",N0CuboaSfmAJ,"H Yuan - Medicine Advances, 2025 - sciopen.com",[],https://www.sciopen.com/local/article_pdf/10.1002/med4.70000.pdf,unknown,unknown
Incorporating Medical Assistants in eHealth Environments Using an Agentic RAG Approach,"D Kalathas, A Menychtas, I Maglogiannis…",2025,3,"… of AI in areas like medical diagnostics, personalized treatment, and … KNOWNET augments LLMs by integrating knowledge … Last but not least, Malade application provides a Multi-agent …",1uBNUAl5RrkJ,"D Kalathas, A Menychtas, I Maglogiannis… - … on Artificial Intelligence …, 2025 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-031-96235-6_12,unknown,unknown
NeuroSync: Intent-Aware Code-Based Problem Solving via Direct LLM Understanding Modification,"W Zhang, L Shen, S Xu, J Wang, J Zhao, H Qu…",2025,14,"… 12 domain users, compared to a customized baseline. The results … To simulate this process, we design the multi-agent system … Knownet: Guided health information seeking from llms via …",3wLUjQlG5J4J,"W Zhang, L Shen, S Xu, J Wang, J Zhao, H Qu… - Proceedings of the 38th …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3746059.3747668,unknown,unknown
AI Agents as Knowledge Navigators: A Conceptual Framework for Multi-Agent Systems in Scientific Knowledge Management,"P Gemelli, L Pagani, MI Zignego…",2025,4,,blbLci8zNEQJ,"P Gemelli, L Pagani, MI Zignego… - Human …, 2025 - Tareq Z. Ahram, Waldemar …",[],,unknown,unknown
